x,y,z
0.14083,0.44401,0.0
0.75335,0.15466,0.0
0.71158,0.16008,0.0
0.18496,0.42453,0.0
0.20945,0.42618,0.0
0.21899,0.44534,0.0
0.53203,0.43231,0.0
0.18239,0.76147,0.0
0.56429,0.47356,0.0
0.82792,0.41708,0.0
0.81224,0.44973,0.0
0.48418,0.63402,0.0
0.58833,0.422,0.0
0.24951,0.69422,0.0
0.53066,0.55875,0.0
0.52194,0.57789,0.0
0.23074,0.33119,0.0
0.22784,0.35381,0.0
0.34895,0.25363,0.0
0.58589,0.85019,0.0
0.39699,0.63268,0.0
0.51954,0.46279,0.0
0.13014,0.31999,0.0
0.13281,0.28591,0.0
0.51408,0.8518,0.0
0.18328,0.15356,0.0
0.4478,0.75278,0.0
0.63293,0.75347,0.0
0.65485,0.78312,0.0
0.67086,0.7504,0.0
0.69319,0.78166,0.0
0.71107,0.74694,0.0
0.73313,0.78026,0.0
0.75181,0.74364,0.0
0.77434,0.77861,0.0
0.79297,0.7414,0.0
0.77034,0.7066,0.0
0.67533,0.8166,0.0
0.81071,0.70388,0.0
0.78877,0.66964,0.0
0.82871,0.66696,0.0
0.80689,0.63294,0.0
0.8472,0.63049,0.0
0.82436,0.5969,0.0
0.83484,0.73622,0.0
0.75507,0.81586,0.0
0.79801,0.81442,0.0
0.78489,0.59943,0.0
0.74354,0.6689,0.0
0.80177,0.56456,0.0
0.84128,0.56068,0.0
0.21786,0.14493,0.0
0.85284,0.44682,0.0
0.7219,0.22951,0.0
0.1425,0.76098,0.0
0.15979,0.79564,0.0
0.54422,0.57551,0.0
0.12402,0.47,0.0
0.14749,0.16443,0.0
0.44726,0.25536,0.0
0.44095,0.27394,0.0
0.19802,0.40404,0.0
0.22235,0.40768,0.0
0.60144,0.43912,0.0
0.49348,0.28287,0.0
0.48598,0.30039,0.0
0.50444,0.29835,0.0
0.49508,0.31644,0.0
0.51515,0.31329,0.0
0.50777,0.32951,0.0
0.52582,0.32751,0.0
0.51871,0.34363,0.0
0.53645,0.3419,0.0
0.52914,0.35797,0.0
0.54754,0.35643,0.0
0.17236,0.40034,0.0
0.12483,0.34985,0.0
0.43806,0.56467,0.0
0.44526,0.55047,0.0
0.4302,0.55052,0.0
0.10832,0.44165,0.0
0.50968,0.35863,0.0
0.52151,0.37297,0.0
0.14085,0.202,0.0
0.3322,0.17296,0.0
0.31245,0.15246,0.0
0.34236,0.14427,0.0
0.31979,0.12102,0.0
0.43649,0.53757,0.0
0.45091,0.53648,0.0
0.24759,0.34493,0.0
0.25064,0.325,0.0
0.24623,0.36377,0.0
0.76361,0.56725,0.0
0.74734,0.60092,0.0
0.77997,0.53358,0.0
0.86932,0.40977,0.0
0.10054,0.29914,0.0
0.56712,0.88545,0.0
0.33071,0.25778,0.0
0.34374,0.27066,0.0
0.35981,0.26799,0.0
0.32728,0.27523,0.0
0.47751,0.75289,0.0
0.46283,0.78015,0.0
0.49149,0.33273,0.0
0.55255,0.5548,0.0
0.422,0.53825,0.0
0.41547,0.55263,0.0
0.61081,0.41836,0.0
0.72755,0.12162,0.0
0.6861,0.12587,0.0
0.67102,0.16573,0.0
0.64604,0.13422,0.0
0.63158,0.1713,0.0
0.60638,0.14106,0.0
0.62057,0.10396,0.0
0.40749,0.5384,0.0
0.40064,0.55035,0.0
0.53429,0.59662,0.0
0.77778,0.85145,0.0
0.82256,0.84941,0.0
0.58176,0.11122,0.0
0.56776,0.14736,0.0
0.5435,0.11854,0.0
0.1225,0.72635,0.0
0.36104,0.8786,0.0
0.19201,0.11717,0.0
0.46907,0.30383,0.0
0.2203,0.75468,0.0
0.77478,0.45241,0.0
0.2881,0.12971,0.0
0.29541,0.09572,0.0
0.4428,0.52478,0.0
0.45666,0.52383,0.0
0.40356,0.6814,0.0
0.3788,0.68018,0.0
0.68737,0.71636,0.0
0.7367,0.29679,0.0
0.11085,0.1768,0.0
0.11761,0.1289,0.0
